Y;Logistic_brut;Logistic_ros;Logistic_smote;Logistic_rus;Logistic_tomek;Lasso_brut;Lasso_ros;Lasso_smote;Lasso_rus;Lasso_tomek;Ridge_brut;Ridge_ros;Ridge_smote;Ridge_rus;Ridge_tomek
1;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;0
1;0;0;0;1;0;1;0;0;0;1;0;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;1;1;1;0;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1
1;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;1;1;1;0;1;0;0;0;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0
1;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;0;0;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1
1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;0
1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;1;1;1;0;0;0;1;1;1;1;0;1
1;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;0;1;1;0;0;0;1;1;1;1;0;1
1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0
1;1;0;0;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0
1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0
1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;0;0;1;1;1;0;0;0;1;0;1;1;1;1
